FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
8058016.txt,https://leadingrectangularemacs.bancadigtal.repl.co/,52,leadingrectangularemacs.bancadigtal.repl.co,43,0,co,30.36039137,0.6,0.0059772,0.060792543,2,2,0,0,0,40,0.769,0,0,0,0,0,4,0.077,1,198,869,1,leadingrectangularemacsbancadigtalrepl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
790856.txt,https://www.noteable.net,23,www.noteable.net,16,0,net,100,1,0.0384199,0.068841329,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,358,678,1,noteable,100,100,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,88,1,4,15,0,3,1
7997647.txt,https://novo-sicredi-black.com/?page=home&amp;a=208a545d9c9920e5b82164095ef319bad2175dc5secure2158133160d9d280afd9baa68ac7d4411e4dfa5aaccess&amp;b=c307f85ef63c038db5451a1042f6f71035959e14secureb88a92fff52f9bef397d01a21ebe53836dcf62fbaccess&amp;c=4b5a9afcee2770f60fda9be064592b20a861a360secure9c2abcaa953117131aa7425287bb7855c77d94e9access,337,novo-sicredi-black.com,22,0,com,3.65677095,0.444444444,0.5229071,0.030133013,3,0,0,0,0,161,0.478,153,0.454,4,1,0,10,0.045,1,249,1239,1,novo-sicredi-black?page=home&amp;a=208a545d9c9920e5b82164095ef319bad2175dc5secure2158133160d9d280afd9baa68ac7d4411e4dfa5aaccess&amp;b=c307f85ef63c038db5451a1042f6f71035959e14secureb88a92fff52f9bef397d01a21ebe53836dcf62fbaccess&amp;c=4b5a9afcee2770f60fda9be064592b20a861a360secure9c2abcaa953117131aa7425287bb7855c77d94e9acces,0,99.69230769,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,11,0,0,5,0
513244.txt,https://www.retrogamingexpo.com,30,www.retrogamingexpo.com,23,0,com,100,1,0.5229071,0.063973612,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,730,649,1,retrogamingexpo,100,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60,5,13,80,1,87,1
591946.txt,https://www.saintlafon.com,25,www.saintlafon.com,18,0,com,100,1,0.5229071,0.065613196,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,2562,4698,0,0,0,0,1,0,1,0,0,1,0,19,0,1,1,1,1,1,1,0,1,36,12,38,87,0,13,1
59939.txt,https://www.routledgehandbooks.com,33,www.routledgehandbooks.com,26,0,com,100,1,0.5229071,0.059960985,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,840,993,1,routledgehandbooks,100,100,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,12,10,35,58,2,4,1
383628.txt,https://www.nufc.com,19,www.nufc.com,12,0,com,100,1,0.5229071,0.058704399,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,1432,4923,1,nufc,100,100,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,26,1,2,3,3,20,1
696887.txt,https://www.takesontech.com,26,www.takesontech.com,19,0,com,100,1,0.5229071,0.067241527,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,1081,9381,1,takesontech,100,100,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,32,6,19,311,1,323,1
703991.txt,https://www.kodaly.org.uk,24,www.kodaly.org.uk,17,0,uk,100,0.7,0.028555,0.051107883,2,2,0,0,0,10,0.417,0,0,0,0,0,2,0.083,1,751,964,1,kodalyorg,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,3,8,67,5,18,1
8062271.txt,https://www-info-orico.kilnpay.com/,35,www-info-orico.kilnpay.com,26,0,com,42.51588867,0.363636364,0.5229071,0.055013141,3,1,0,0,0,22,0.629,0,0,0,0,0,5,0.143,1,35,126,1,www-info-oricokilnpay,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
258796.txt,https://www.respirationcarree.fr,31,www.respirationcarree.fr,24,0,fr,100,1,0.0141483,0.066099999,2,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,295,207,1,respirationcarree,100,100,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,17,2,5,0,1,12,1
624213.txt,https://www.hrtvl.com,20,www.hrtvl.com,13,0,com,100,1,0.5229071,0.052857497,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,536,1447,1,hrtvl,100,100,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,25,10,9,25,6,93,1
516062.txt,https://www.romlit.ro,20,www.romlit.ro,13,0,ro,100,1,0.001523,0.06421697,2,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,1899,417,1,omlit,83.33333333,83.33333333,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,10,0,2,2,0,47,1
874131.txt,https://www.lanaturalezanosllama.com,35,www.lanaturalezanosllama.com,28,0,com,100,1,0.5229071,0.064280923,3,1,0,0,0,22,0.629,0,0,0,0,0,1,0.029,1,613,309,1,lanaturalezanosllama,100,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,6,16,0,19,2,1
110769.txt,https://www.dss.virginia.gov,27,www.dss.virginia.gov,20,0,gov,100,0.75,0.0033282,0.054016365,3,2,0,0,0,13,0.481,0,0,0,0,0,2,0.074,1,3120,832,1,dssvirginia,0,0,1,0,1,1,0,0,1,2,0,1,1,1,0,1,1,0,1,43,12,24,235,1,63,1
25906.txt,https://www.frommers.com,23,www.frommers.com,16,0,com,100,1,0.5229071,0.06851545,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,1663,30104,1,frommers,100,100,1,0,1,0,0,1,2,4,1,1,1,1,0,0,1,0,1,57,6,16,266,6,22,1
568541.txt,https://www.ranchodeluxe.com,27,www.ranchodeluxe.com,20,0,com,100,1,0.5229071,0.061649748,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,1059,1350,1,ranchodeluxe,100,100,0,0,0,0,0,1,0,4,0,0,0,1,0,0,1,0,1,39,7,9,25,0,9,1
576047.txt,https://www.morgandetoi.fr,25,www.morgandetoi.fr,18,0,fr,100,1,0.0141483,0.062392801,2,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,3431,9768,1,morgandetoi,100,100,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,38,4,27,183,0,201,1
817784.txt,https://www.build-africa.org,27,www.build-africa.org,20,0,org,100,0.583333333,0.0799628,0.056265348,3,1,0,0,0,13,0.481,0,0,0,0,0,2,0.074,1,293,5533,1,build-africa,100,100,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,17,9,12,40,0,12,1
542692.txt,https://www.saloni.pk,20,www.saloni.pk,13,0,pk,100,1,0.0003682,0.061172364,2,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,5275,78797,1,saloni,100,100,0,0,1,1,0,1,0,2,0,1,1,1,0,0,1,0,1,335,26,52,824,13,1197,1
400639.txt,https://www.lag.org.uk,21,www.lag.org.uk,14,0,uk,100,0.571428571,0.028555,0.053892779,2,2,0,0,0,7,0.333,0,0,0,0,0,2,0.095,1,6404,32035,1,lagorg,0,0,1,1,1,0,0,1,0,44,0,1,1,1,0,0,1,0,1,20,22,14,48,5,15,1
898284.txt,https://www.cqeec.com,20,www.cqeec.com,13,0,com,100,1,0.5229071,0.071635711,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,584,268,1,cqeec,100,100,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,59,6,12,15,2,22,1
624005.txt,https://www.gracebarkerhealth.com,32,www.gracebarkerhealth.com,25,0,com,100,1,0.5229071,0.061061162,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,620,9381,1,gracebarkerhealth,100,100,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,19,19,23,77,3,91,1
8031195.txt,https://strictbenefibancolo.gleidysala.repl.co/,46,strictbenefibancolo.gleidysala.repl.co,38,0,co,36.14069691,0.571428571,0.0059772,0.060219258,2,2,0,0,0,35,0.761,0,0,0,0,0,3,0.065,1,198,869,1,strictbenefibanlogleidysalarepl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
389859.txt,https://www.123telugu.com,24,www.123telugu.com,17,0,com,100,1,0.5229071,0.041834211,3,1,0,0,0,8,0.333,3,0.125,0,0,0,1,0.042,1,1608,8047,1,123telugu,100,100,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,23,3,20,130,10,182,1
8001047.txt,http://smartdappsauthonline.com,30,smartdappsauthonline.com,24,0,com,63.33538462,1,0.5229071,0.059724192,3,0,0,0,0,22,0.733,0,0,0,0,0,1,0.033,0,15,155,1,smartdappsauthonline,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7342842.txt,http://friendsofnechockey.com/templates/default/assets/office.php.php,68,friendsofnechockey.com,22,0,com,24.72127248,1,0.5229071,0.056293891,3,0,0,0,0,54,0.794,0,0,0,0,0,7,0.103,0,9,123,1,friendsofnechockeytemplatesdefaultassetsofficephpph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
mw55487.txt,http://www.methisy.cf,20,www.methisy.cf,14,0,cf,73.45454545,1,0.0001858,0.054430123,2,1,0,0,0,8,0.4,0,0,0,0,0,1,0.05,0,20,208,1,methisy,100,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810071.txt,https://www.ixorg.org,20,www.ixorg.org,13,0,org,100,1,0.0799628,0.060596292,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,281,378,1,ixg,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,11,15,28,0,8,1
833395.txt,https://www.odishapolice.gov.in,30,www.odishapolice.gov.in,23,0,in,100,0.8125,0.0050842,0.059842406,2,2,0,0,0,16,0.533,0,0,0,0,0,2,0.067,1,693,3891,1,odshapolcegov,0,0,1,0,0,1,1,0,0,2,0,1,1,1,1,1,0,0,1,23,32,17,80,2,53,1
623681.txt,https://www.enrichgifts.com,26,www.enrichgifts.com,19,0,com,100,1,0.5229071,0.058562841,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,1583,473,1,enrichgifts,100,100,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,9,12,14,752,0,726,1
102498.txt,https://www.gibraltarlaws.gov.gi,31,www.gibraltarlaws.gov.gi,24,0,gi,100,0.823529412,0.0000169,0.050600517,2,2,0,0,0,17,0.548,0,0,0,0,0,2,0.065,1,760,773,1,ibraltarlawsov,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,25,10,12,40,1,39,1
66818.txt,https://www.mysanfordherald.com,30,www.mysanfordherald.com,23,0,com,100,1,0.5229071,0.057918932,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,1473,5421,1,mysanfordherald,100,100,0,0,1,0,0,0,0,2,0,1,1,1,0,1,0,0,1,32,26,17,91,1,45,1
mw61524.txt,http://www.shakeroom.com,23,www.shakeroom.com,17,0,com,83.43195266,1,0.5229071,0.070026726,3,1,0,0,0,11,0.478,0,0,0,0,0,1,0.043,0,17,391,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
515564.txt,https://www.scottishhillracing.co.uk,35,www.scottishhillracing.co.uk,28,0,uk,100,0.904761905,0.028555,0.058530893,2,2,0,0,0,21,0.6,0,0,0,0,0,2,0.057,1,1191,17753,1,scottishhillracingco,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,1,0,1,32,2,5,11,0,34,1
575084.txt,https://www.asahitravelgroup.com,31,www.asahitravelgroup.com,24,0,com,100,1,0.5229071,0.059586658,3,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,1835,9381,1,asahitravelgroup,100,100,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,30,75,134,0,143,1
7969414.txt,https://storageapi.fleek.co/0a7d490b-d5f9-46dd-9a38-407e57fbb5ee-bucket/scripts.html,83,storageapi.fleek.co,19,0,co,25.48701299,0.6875,0.0059772,0.039343656,2,1,0,0,0,47,0.566,18,0.217,0,0,0,10,0.12,1,3,795816,0,0,0,1.408450704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535479.txt,https://www.sji.gov,18,www.sji.gov,11,0,gov,100,1,0.0033282,0.051041544,3,1,0,0,0,5,0.278,0,0,0,0,0,1,0.056,1,610,5042,1,sji,100,100,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,14,11,14,88,1,86,1
888705.txt,https://www.isuzuphil.com,24,www.isuzuphil.com,17,0,com,100,1,0.5229071,0.04706297,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1049,1447,1,isuzuphil,100,100,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,45,1,8,96,5,61,1
691848.txt,https://www.micromain.com,24,www.micromain.com,17,0,com,100,1,0.5229071,0.072873365,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,890,2267,1,micromain,100,100,1,1,1,0,0,1,1,3,0,1,0,0,0,0,0,0,1,35,14,38,97,0,95,1
168600.txt,https://www.northernballet.com,29,www.northernballet.com,22,0,com,100,1,0.5229071,0.063753259,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,2477,11210,1,northernballet,100,100,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,54,6,9,185,0,12,1
609945.txt,https://www.dramyortho.com,25,www.dramyortho.com,18,0,com,100,1,0.5229071,0.06416937,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,1219,9381,1,dramyortho,100,100,0,1,1,0,0,1,0,2,0,1,0,1,0,0,1,0,1,18,18,25,28,0,72,1
717617.txt,https://www.unbosque.edu.co,26,www.unbosque.edu.co,19,0,co,100,0.75,0.0059772,0.051461112,2,2,0,0,0,12,0.462,0,0,0,0,0,2,0.077,1,12688,19392,1,unbosqueedu,0,0,1,0,1,0,0,1,0,3,0,1,1,1,0,0,1,0,1,54,3,21,670,0,401,1
139223.txt,https://www.blockcommons.red,27,www.blockcommons.red,20,0,red,100,1,0.0000376,0.065909747,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,2112,199,1,blockcommons,100,100,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15,8,10,81,6,10,1
mw60218.txt,http://www.ns2.axs.su,20,www.ns2.axs.su,14,0,su,61.09090909,0.714285714,0.000402,0.044534635,2,2,0,0,0,6,0.3,1,0.05,0,0,0,2,0.1,0,13,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251782.txt,https://www.hlsapp.ch,20,www.hlsapp.ch,13,0,ch,100,1,0.0049832,0.046656255,2,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,452,259,1,hlsapp,100,100,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,26,6,6,10,1,7,1
82996.txt,https://www.tts-group.co.uk,26,www.tts-group.co.uk,19,0,uk,100,0.5,0.028555,0.056578852,2,2,0,0,0,11,0.423,0,0,0,0,0,3,0.115,1,12991,7335,1,tts-gropco,0,0,0,0,1,0,0,1,0,2,0,1,1,1,0,1,1,0,1,25,8,47,1294,3,884,1
403996.txt,https://www.xsportfitness.com,28,www.xsportfitness.com,21,0,com,100,1,0.5229071,0.058029273,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,1364,6725,1,xsportfitness,100,100,1,0,1,0,0,1,0,2,0,1,1,1,0,0,1,0,0,60,3,14,72,3,58,1
8034469.txt,https://meta-helpcenter-10021054986.firebaseapp.com/,51,meta-helpcenter-10021054986.firebaseapp.com,43,0,com,43.44854713,0.58974359,0.5229071,0.04509286,3,1,0,0,0,28,0.549,11,0.216,0,0,0,4,0.078,1,2,1362,1,meta-helpcenter-10021054986firebaseapp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
388483.txt,https://www.rcpa.edu.au,22,www.rcpa.edu.au,15,0,au,100,0.625,0.0100856,0.059310386,2,2,0,0,0,8,0.364,0,0,0,0,0,2,0.091,1,1621,4615,1,rcpedu,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,5,2,10,286,7,7,1
577941.txt,https://www.bridefacerichmond.com,32,www.bridefacerichmond.com,25,0,com,100,1,0.5229071,0.061872943,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,2639,1326,1,bridefacerichmond,100,100,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,47,3,14,0,2,26,1
8008454.txt,https://shinebedding.com/s/xvf0ja,32,shinebedding.com,16,0,com,53.32923077,1,0.5229071,0.044798234,3,0,0,0,0,20,0.625,1,0.031,0,0,0,3,0.094,1,38,5395,1,shinebeddingsxvf0j,0,94.73684211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
867054.txt,https://www.radioofficers.com,28,www.radioofficers.com,21,0,com,100,1,0.5229071,0.065993023,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,1426,9615,1,radioofficers,100,100,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,3,12,19,292,10,298,1
387862.txt,https://www.bupt.edu.cn,22,www.bupt.edu.cn,15,0,cn,100,0.625,0.0033218,0.044883032,2,2,0,0,0,8,0.364,0,0,0,0,0,2,0.091,1,1508,730,1,buptedu,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,77,12,23,8,0,52,1
256232.txt,https://www.previvales.mx,24,www.previvales.mx,17,0,mx,100,1,0.0017218,0.053909502,2,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,414,566,1,previvales,100,100,0,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,19,2,7,0,6,8,1
768554.txt,https://www.phuketcity.info,26,www.phuketcity.info,19,0,info,100,1,0.0075051,0.044735962,4,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,14694,495,1,phuketcity,100,100,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,338,3,13,2,0,131,1
169443.txt,https://www.sfcinematheque.org,29,www.sfcinematheque.org,22,0,org,100,1,0.0799628,0.059541331,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,1053,1902,1,sfcinematheque,100,100,1,0,0,0,0,0,1,4,0,1,1,1,0,0,1,0,1,10,26,43,82,0,96,1
7994505.txt,https://att-108757.weeblysite.com/,33,att-108757.weeblysite.com,25,0,com,66.69538462,0.80952381,0.5229071,0.044001172,3,1,0,0,0,16,0.485,6,0.182,0,0,0,3,0.091,1,173,18457,1,att-108757weeblysite,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,19,3,9,1,0,4,0
mw31j0302.txt,http://www.shailavmalik.github.io,32,www.shailavmalik.github.io,26,0,io,67.58893281,0.684210526,0.0129268,0.048068174,2,2,0,0,0,19,0.594,0,0,0,0,0,2,0.062,0,81,3909,1,shalavmalkgthub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
558563.txt,https://www.urns.com,19,www.urns.com,12,0,com,100,1,0.5229071,0.063727691,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,4461,2876,1,urns,100,100,1,0,1,1,0,1,0,19,0,1,1,1,1,1,1,0,1,24,3,34,99,4,14,1
30823.txt,https://www.vitoria.es.gov.br,28,www.vitoria.es.gov.br,21,0,br,100,0.571428571,0.0094423,0.057542875,2,3,0,0,0,13,0.464,0,0,0,0,0,3,0.107,1,755,674,1,vitoriaesgov,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,17,5,12,6,0,36,1
70355.txt,https://www.deanhume.com,23,www.deanhume.com,16,0,com,100,1,0.5229071,0.064095601,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,290,498,1,deanhume,100,100,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,2,16,0,9,1
40616.txt,https://www.tlnt.com,19,www.tlnt.com,12,0,com,100,1,0.5229071,0.064295287,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,1272,9381,1,tlnt,100,100,1,1,1,0,0,1,0,2,0,1,0,0,0,0,1,0,1,28,7,16,100,0,122,1
8073373.txt,https://livelo-programa-de-recompensas.brazilsouth.cloudapp.azure.com/,70,livelo-programa-de-recompensas.brazilsouth.cloudapp.azure.com,61,0,com,19.95127914,0.210526316,0.5229071,0.059151804,3,3,0,0,0,54,0.771,0,0,0,0,0,8,0.114,1,2,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8088915.txt,https://business-confirm-appeal-4baff.firebaseapp.com/,54,business-confirm-appeal-4baff.firebaseapp.com,45,0,com,39.37305421,0.317073171,0.5229071,0.054857046,3,1,0,0,0,39,0.722,1,0.019,0,0,0,6,0.111,1,108,8125,1,business-confirm-appeal-4bafffirebaseapp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
64551.txt,https://www.fordfound.org,24,www.fordfound.org,17,0,org,100,1,0.0799628,0.055509214,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1493,26840,1,fdfound,0,0,1,0,1,0,0,1,0,2,0,1,1,1,0,0,1,1,1,32,1,15,107,0,9,1
8059598.txt,https://mail-102310.weeblysite.com/,35,mail-102310.weeblysite.com,26,0,com,45.54021477,0.772727273,0.5229071,0.044782711,3,1,0,0,0,17,0.486,6,0.171,0,0,0,4,0.114,1,13,103,1,mail-102310weeblysite,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127898.txt,https://www.digitalmaas.com,26,www.digitalmaas.com,19,0,com,100,1,0.5229071,0.063076017,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,508,9381,1,digitalmaas,100,100,1,1,1,0,0,1,0,2,1,1,1,1,0,1,0,0,0,11,4,8,40,1,52,1
511184.txt,https://www.genuss-touren.com,28,www.genuss-touren.com,21,0,com,100,0.538461538,0.5229071,0.063728444,3,1,0,0,0,14,0.5,0,0,0,0,0,2,0.071,1,792,9381,1,genuss-touren,100,100,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,24,13,18,183,9,173,1
91922.txt,https://www.narconews.com,24,www.narconews.com,17,0,com,100,1,0.5229071,0.069566216,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,3790,705,1,narnews,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,19,3,6,72,0,392,1
19632.txt,https://www.worldpressphoto.org,30,www.worldpressphoto.org,23,0,org,100,1,0.0799628,0.059373007,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,544,301,1,wldpressphoto,0,0,1,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,0,13,1,3,37,0,17,1
8077098.txt,https://sgju-m2lo-h.firebaseapp.com/,36,sgju-m2lo-h.firebaseapp.com,27,0,com,65.68685087,0.565217391,0.5229071,0.052255809,3,1,0,0,0,22,0.611,1,0.028,0,0,0,5,0.139,1,108,8125,1,sgju-m2lo-hfirebaseapp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
858053.txt,https://www.socansongwritingprize.ca,35,www.socansongwritingprize.ca,28,0,ca,100,1,0.0101825,0.057808242,2,1,0,0,0,22,0.629,0,0,0,0,0,1,0.029,1,831,8047,1,soansongwritingprize,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,23,9,14,39,3,53,1
770383.txt,https://www.oliwebbracing.com,28,www.oliwebbracing.com,21,0,com,100,1,0.5229071,0.059688028,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,402,8047,1,oliwebbracing,100,100,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,29,2,4,24,0,34,1
mw31182.txt,http://www.helpdesk.autodefragapp.com,36,www.helpdesk.autodefragapp.com,30,0,com,58.22923515,0.636363636,0.5229071,0.054621539,3,2,0,0,0,23,0.639,0,0,0,0,0,2,0.056,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383006.txt,https://www.laregioninternacional.com,36,www.laregioninternacional.com,29,0,com,100,1,0.5229071,0.069123132,3,1,0,0,0,23,0.639,0,0,0,0,0,1,0.028,1,3004,7862,1,laregioninternacional,100,100,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,107,8,13,314,2,89,1
mw5jan1322.txt,http://www.petare.fr,19,www.petare.fr,13,0,fr,72.72727273,1,0.0141483,0.059639969,2,1,0,0,0,7,0.368,0,0,0,0,0,1,0.053,0,11,78,1,petare,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51659.txt,https://www.teenagemutantninjaturtles.com,40,www.teenagemutantninjaturtles.com,33,0,com,100,1,0.5229071,0.061732091,3,1,0,0,0,27,0.675,0,0,0,0,0,1,0.025,1,1542,3166,1,teenagemutantninjaturtles,100,100,0,1,1,0,0,1,0,3,0,1,1,0,0,0,0,0,1,32,31,69,149,0,164,1
23356.txt,https://www.malaymail.com,24,www.malaymail.com,17,0,com,100,1,0.5229071,0.064164265,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1209,14659,1,malaymail,100,100,0,1,1,1,1,1,0,4,0,1,1,1,0,1,1,1,1,86,23,13,112,0,72,1
26008.txt,https://www.mancity.com,22,www.mancity.com,15,0,com,100,1,0.5229071,0.064527682,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,2724,48459,1,mancity,100,100,1,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,183,1,13,108,2,126,1
447046.txt,https://www.michaelfinnissy.info,31,www.michaelfinnissy.info,24,0,info,100,1,0.0075051,0.05291397,4,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,406,9381,1,michaelfinnissy,100,100,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,11,7,8,47,10,49,1
